epoch,train_loss,train_acc,test_loss,test_acc,orth_loss,avg_cos_sim,avg_cos_sim_sq
0,1.5249899323024447,41.025,1.3369968459010124,48.7,0.0,0.06003032485023141,0.01886023604311049
1,1.1119122514649042,57.7375,1.0787095800042152,58.75,0.0,0.06460122112184763,0.018279671669006348
2,0.9368018025443667,64.6625,0.9184424728155136,64.05,0.0,0.07248583622276783,0.01878867927007377
3,0.8052294519212511,69.2,0.8571881130337715,64.95,0.0,0.06690861703827977,0.019113328075036407
4,0.6948708305283199,73.8625,0.7707334421575069,69.45,0.0,0.08417330426163971,0.023834960535168648
5,0.6027670062723613,77.15,0.7474409677088261,70.9,0.0,0.08560451725497842,0.025466541526839137
6,0.5461629723745679,79.475,0.7394770830869675,72.4,0.0,0.10006717155920342,0.027477768249809742
7,0.47806084203341653,81.875,0.7383532039821148,72.5,0.0,0.09660562762292102,0.02737330482341349
8,0.46061242147097514,82.7,0.6776763629168272,74.7,0.0,0.08352977817412466,0.022974286461248994
9,0.39767544988601927,84.7875,0.6573064364492893,75.1,0.0,0.09400231787003577,0.025502267759293318
10,0.3588380267222722,86.65,0.7234927043318748,74.1,0.0,0.09802049305289984,0.026993697742000222
11,0.3195279808271499,88.025,0.6901257634162903,76.3,0.0,0.09914697287604213,0.028434972977265716
12,0.31077756318781113,88.95,0.6835028454661369,75.9,0.0,0.09710282273590565,0.026901342207565904
13,0.28987261936778114,89.0625,0.6264619752764702,77.5,0.0,0.10068308468908072,0.02852640114724636
14,0.25116697261257775,90.5,0.673170916736126,76.1,0.0,0.10578703414648771,0.029370717937126756
15,0.2674258862222944,89.95,0.709988459944725,75.15,0.0,0.10254601389169693,0.030846046516671777
16,0.24415066116859044,91.0,0.7500007599592209,75.95,0.0,0.10006905533373356,0.029255768284201622
17,0.2166713715072662,91.7125,0.7016902826726437,77.55,0.0,0.09961074404418468,0.030804541427642107
18,0.21448985688270084,92.05,0.7156253233551979,77.5,0.0,0.10242344764992595,0.029669562471099198
19,0.19831194480260214,92.6,0.6906080655753613,78.2,0.0,0.09751610131934285,0.029976547928526998
20,0.188102178157322,93.1625,0.7637302950024605,76.65,0.0,0.09836596110835671,0.02990558068268001
21,0.16889751170362746,93.8875,0.6975321620702744,77.75,0.0,0.10578431561589241,0.03151149849873036
22,0.14544008891024288,94.8625,0.7323953323066235,77.25,0.0,0.10318587301298976,0.030523440334945917
23,0.1741865954938389,93.4875,0.6856768075376749,78.3,0.0,0.10414019646123052,0.03167777229100466
24,0.1784206580311533,93.425,0.687298234552145,78.85,0.0,0.10323720681481063,0.03214064589701593
25,0.1375701692960565,95.375,0.6979760713875294,78.15,0.0,0.10226387204602361,0.03211894887499511
26,0.15251159626576635,94.1125,0.7296324763447046,77.35,0.0,0.10052631748840213,0.0318525955080986
27,0.12006653023381082,95.7625,0.7073505390435457,79.95,0.0,0.10113103012554348,0.03147946042008698
28,0.137145314129099,95.5125,0.7144082747399807,78.8,0.0,0.099658680614084,0.031085538677871227
29,0.13468076891842343,95.25,0.7515514772385359,78.55,0.0,0.10424906481057405,0.032054297742433846
30,0.14182777200189847,94.8625,0.7467029076069593,79.4,0.0,0.10141752066556364,0.03285653842613101
31,0.1186951074808363,95.6875,0.7063552774488926,80.1,0.0,0.10549901938065886,0.033947275253012776
32,0.09756591383899961,96.4625,0.7509702369570732,78.7,0.0,0.09947960404679179,0.03216349217109382
33,0.09463949270901226,96.8625,0.733458561822772,79.15,0.0,0.11012944090180099,0.03692269395105541
34,0.10783389872974819,96.175,0.8456564284861088,77.25,0.0,0.09886639809701592,0.033276838483288884
35,0.10120794744718642,96.4125,0.7885572519153357,78.0,0.0,0.09539862885139883,0.031721955398097634
36,0.06909620138033042,97.6125,0.7294830847531557,79.7,0.0,0.09867551713250577,0.034309892915189266
37,0.07741102772868341,97.4125,0.8284660689532757,78.8,0.0,0.09850800689309835,0.03328649350441992
38,0.11886505637731817,95.775,0.8051272928714752,78.85,0.0,0.09341324539855123,0.0313159734942019
39,0.1396918577097711,94.925,0.7869210802018642,78.05,0.0,0.10293084231670946,0.0318240518681705
40,0.10666023809758443,96.275,0.7277708947658539,79.7,0.0,0.10647423006594181,0.03437240270432085
41,0.08288517192242638,97.0875,0.7692260108888149,80.1,0.0,0.10266876802779734,0.033836594549939036
42,0.08439623756659409,97.0875,0.785053662955761,80.15,0.0,0.10305408237036318,0.035548202926293015
43,0.09632056377946384,96.5625,0.7979153133928776,79.35,0.0,0.10346430935896933,0.03584384871646762
44,0.08359007362926764,97.175,0.732827439904213,79.5,0.0,0.10370732472802047,0.034918494056910276
45,0.07541251611260194,97.25,0.7315051630139351,80.95,0.0,0.09897583187557757,0.03449377091601491
46,0.07732355000362509,97.4125,0.8123495262116194,79.75,0.0,0.09629813558422029,0.03386334143579006
47,0.07205160188355617,97.4875,0.7863799408078194,79.6,0.0,0.09708290454000235,0.033456786535680294
48,0.06193369139163267,98.0375,0.7921844832599163,79.8,0.0,0.09713619240210392,0.0350691310595721
49,0.06600462674858078,97.9,0.7464218810200691,80.75,0.0,0.10304722539149225,0.03538649948313832
