epoch,train_loss,train_acc,test_loss,test_acc,orth_loss,avg_cos_sim,avg_cos_sim_sq
0,1.5449378566136436,40.8625,1.3233317509293556,47.9,0.07303584822350079,0.09536521695554256,0.020519897108897567
1,1.174697051918696,54.6125,1.107984784990549,55.8,0.07411483462367739,0.09086967539042234,0.01923266425728798
2,0.9724877079327902,63.0625,0.9640241898596287,61.55,0.07630485946696902,0.09228690806776285,0.02021798607893288
3,0.8630625529894753,66.2,0.9030631892383099,64.4,0.08486428880502307,0.10036380216479301,0.023044813773594797
4,0.7694208063776531,70.55,0.8284264355897903,67.4,0.08838440560632282,0.10751023422926664,0.02365749911405146
5,0.697570989056239,73.2875,0.7563642263412476,69.75,0.08895461332230341,0.10299889743328094,0.02236122521571815
6,0.6175643177259535,76.4375,0.7522243112325668,70.9,0.09370013421017026,0.10565893165767193,0.02296704170294106
7,0.5629282915402972,78.4,0.6708945408463478,74.8,0.09565526045977123,0.10892532393336296,0.02418756252154708
8,0.5230556991365221,80.2125,0.6717990860342979,74.55,0.1041732214036442,0.11156953684985638,0.02490166760981083
9,0.4619618351497347,82.2125,0.6763332020491362,74.85,0.10647249907728225,0.11282827612012625,0.02614229335449636
10,0.4267869842430902,83.6125,0.6432237289845943,75.15,0.11357865766400382,0.1265221294015646,0.029194782255217433
11,0.4160757495297326,84.3375,0.6419391818344593,75.75,0.10846926804099764,0.1160299051553011,0.026993895648047328
12,0.3765133229039964,85.825,0.6305117756128311,77.75,0.10701731332237759,0.12102957256138325,0.02806700672954321
13,0.38289349987393334,85.375,0.6494737528264523,77.7,0.10755717210353367,0.11499905772507191,0.02601265092380345
14,0.3201616508147073,87.675,0.6157124731689692,77.65,0.1072987788726413,0.10985230468213558,0.025835810462012887
15,0.29295689056790064,89.5,0.6354934852570295,78.5,0.11297023284529882,0.11252844613045454,0.02788761304691434
16,0.2778120952702704,89.5,0.6853605099022388,76.55,0.11486257742794734,0.11407745908945799,0.028454170562326908
17,0.27664532961826477,89.625,0.6343928705900908,78.6,0.11513370441065894,0.10742576699703932,0.026275827549397945
18,0.23466702184033772,91.225,0.6437406614422798,78.2,0.11473793039719264,0.10632907040417194,0.027197189163416624
19,0.23678739368915558,90.7625,0.6028296612203121,79.35,0.11811838157120205,0.10720979794859886,0.028530122246593237
20,0.22723123667732117,91.75,0.7066311910748482,77.1,0.12240084473575864,0.10662012547254562,0.02996907802298665
